Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2022-05-19,383.4382782605228,400.9004302802655,2.7755575615628914e-17,7.778302867121005e-17,2.1092302058457947e-15,27873.932325158,27873.932325158
2022-05-20,381.32500717474477,399.59408968563497,2.7755575615628914e-17,-2.483340451411555e-17,2.084396801331679e-15,27873.932325158,27873.932325158
2022-05-23,379.5149004238413,398.34527073886375,2.7755575615628914e-17,2.228645129739502e-18,2.0866254464614186e-15,27873.932325158,27873.932325158
2022-05-24,378.8635566043083,397.41525313252964,2.7755575615628914e-17,1.4350648113210186e-18,2.0880605112727397e-15,27873.932325158,27873.932325158
2022-05-25,377.91774759222346,396.4095565004176,2.7755575615628914e-17,1.3303138707561715e-18,2.089390825143496e-15,27873.932325158,27873.932325158
2022-05-26,377.5359940395624,395.57210706696065,2.7755575615628914e-17,-3.333206273008165e-17,2.056058762413414e-15,27873.932325158,27873.932325158
2022-05-27,378.20435157256867,395.0613842618685,2.7755575615628914e-17,-4.65737207625098e-17,2.0094850416509044e-15,27873.932325158,27873.932325158
2022-05-31,380.03575541237205,394.93897234458325,2.7755575615628914e-17,-2.7405669342554818e-17,1.9820793723083496e-15,27873.932325158,27873.932325158
2022-06-01,381.32975918291,394.7351218091646,2.7755575615628914e-17,-7.734043384527143e-18,1.9743453289238224e-15,27873.932325158,27873.932325158
2022-06-02,382.0309003413345,394.41563930178927,2.7755575615628914e-17,2.7728456983101693e-17,2.002073785906924e-15,27873.932325158,27873.932325158
2022-06-03,383.6201478088441,394.3973889898625,2.7755575615628914e-17,-1.446715057694342e-17,1.9876066353299807e-15,27873.932325158,27873.932325158
2022-06-06,384.13545948120657,394.12631433738017,2.7755575615628914e-17,-1.1404753196127624e-17,1.976201882133853e-15,27873.932325158,27873.932325158
2022-06-07,384.7393668042853,393.9121359086318,2.7755575615628914e-17,3.234723551375861e-17,2.0085491176476117e-15,27873.932325158,27873.932325158
2022-06-08,385.759847877516,393.8525609652939,2.7755575615628914e-17,-2.828926954006258e-17,1.980259848107549e-15,27873.932325158,27873.932325158
2022-06-09,386.0754415654618,393.62802134065925,2.7755575615628914e-17,2.2205128987163053e-17,2.002464977094712e-15,27873.932325158,27873.932325158
2022-06-10,385.1181821692336,393.0502948603883,2.7755575615628914e-17,7.332778431270213e-17,2.0757927614074143e-15,27873.932325158,27873.932325158
2022-06-13,382.8237095401587,392.06438672669356,2.7755575615628914e-17,8.213541960716919e-17,2.1579281810145835e-15,27873.932325158,27873.932325158
2022-06-14,378.9726543879292,390.5693439491149,2.7755575615628914e-17,1.7178754885508517e-17,2.175106935900092e-15,27873.932325158,27873.932325158
2022-06-15,375.4928654109449,389.09110446328873,2.7755575615628914e-17,-2.9397487367801214e-18,2.172167187163312e-15,27873.932325158,27873.932325158
2022-06-16,373.14781245771474,387.86811872989387,2.7755575615628914e-17,4.015900326500696e-17,2.212326190428319e-15,27873.932325158,27873.932325158
2022-06-17,369.53606718340484,386.2285737954036,2.7755575615628914e-17,2.0617755581368732e-17,2.2329439460096876e-15,27873.932325158,27873.932325158
2022-06-21,366.50535897431547,384.682580925593,2.7755575615628914e-17,-3.830690981850025e-17,2.1946370361911873e-15,27873.932325158,27873.932325158
2022-06-22,365.04277921003177,383.53957817330263,2.7755575615628914e-17,7.519977849291216e-18,2.2021570140404785e-15,27873.932325158,27873.932325158
2022-06-23,363.68927664999626,382.41612451983065,2.7755575615628914e-17,-3.5198348171671044e-17,2.1669586658688075e-15,27873.932325158,27873.932325158
2022-06-24,362.98009200942386,381.4731546110413,2.7755575615628914e-17,-2.704373341000022e-17,2.1399149324588073e-15,27873.932325158,27873.932325158
2022-06-27,363.88465070504236,381.0139831449833,2.7755575615628914e-17,-5.2807007940857195e-17,2.08710792451795e-15,27873.932325158,27873.932325158
2022-06-28,364.48028370348464,380.5174307939392,2.7755575615628914e-17,4.385088561972987e-18,2.091493013079923e-15,27873.932325158,27873.932325158
2022-06-29,363.99297927479086,379.745198232933,2.7755575615628914e-17,4.937572616139022e-17,2.1408687392413133e-15,27873.932325158,27873.932325158
2022-06-30,363.5314641996104,378.9917244281488,2.7755575615628914e-17,2.8393931995509386e-17,2.1692626712368227e-15,27873.932325158,27873.932325158
2022-07-01,362.7409449170061,378.15293404194995,2.7755575615628914e-17,-1.8435205450127617e-18,2.16741915069181e-15,27873.932325158,27873.932325158
2022-07-05,362.5601210114053,377.4953588099127,2.7755575615628914e-17,3.921240552486275e-18,2.171340391244296e-15,27873.932325158,27873.932325158
2022-07-06,362.49440223983254,376.8903341595087,2.7755575615628914e-17,-3.540214060007757e-17,2.1359382506442186e-15,27873.932325158,27873.932325158
2022-07-07,362.60049528754234,376.35699164727924,2.7755575615628914e-17,-1.6693608400010246e-17,2.1192446422442084e-15,27873.932325158,27873.932325158
2022-07-08,363.417906462745,376.05793625332956,2.7755575615628914e-17,-1.1765502711655535e-17,2.107479139532553e-15,27873.932325158,27873.932325158
2022-07-11,364.0858916557332,375.75871504379336,2.7755575615628914e-17,7.755508507247553e-18,2.1152346480398004e-15,27873.932325158,27873.932325158
2022-07-12,364.10365086075,375.30618055946263,2.7755575615628914e-17,1.2129727348394849e-17,2.1273643753881952e-15,27873.932325158,27873.932325158
2022-07-13,363.6893139816604,374.74500188134954,2.7755575615628914e-17,4.8491120494292276e-17,2.1758554958824875e-15,27873.932325158,27873.932325158
2022-07-14,363.0774388166578,374.13148220930213,2.7755575615628914e-17,8.677689897093092e-18,2.1845331857795806e-15,27873.932325158,27873.932325158
2022-07-15,362.4308709653222,373.5078232964527,2.7755575615628914e-17,-5.105172157265298e-17,2.1334814642069276e-15,27873.932325158,27873.932325158
2022-07-18,362.7830487819251,373.177014719723,2.7755575615628914e-17,-3.2025953866144374e-17,2.1014555103407832e-15,27873.932325158,27873.932325158
2022-07-19,362.68635305240804,372.74096829191217,2.7755575615628914e-17,1.2519507689609172e-17,2.1139750180303924e-15,27873.932325158,27873.932325158
2022-07-20,363.90687544489947,372.70564682933104,2.7755575615628914e-17,-3.441883867741246e-17,2.07955617935298e-15,27873.932325158,27873.932325158
2022-07-21,365.2806364532879,372.76464432652637,2.7755575615628914e-17,-8.916397475668781e-18,2.070639781877311e-15,27873.932325158,27873.932325158
2022-07-22,366.97931851993286,372.97076619423615,2.7755575615628914e-17,-2.470714524541471e-17,2.0459326366318965e-15,27873.932325158,27873.932325158
2022-07-25,367.9838623461814,373.03126152845425,2.7755575615628914e-17,1.6388179550635432e-17,2.062320816182532e-15,27873.932325158,27873.932325158
